DateTime,Active_power,Reactive_power,Voltage,Intensity,Sub_meter_1,Sub_meter_2,Sub_meter_3,Sub_meter_4
2006-12-16,1209.18,34.92,236.24,13.08,0.0,546.0,4926.0,14684.0
2006-12-17,3390.46,226.01,240.09,10.0,2033.0,4187.0,13341.0,36961.0
2006-12-18,2203.83,161.79,241.23,6.42,1063.0,2621.0,14018.0,19029.0
2006-12-19,1666.19,150.94,242.0,4.93,839.0,7602.0,6197.0,13139.0
2006-12-20,2225.75,161.0,242.31,6.47,0.0,2648.0,14063.0,20394.0
2006-12-21,1723.29,144.43,241.04,5.05,1765.0,2692.0,10456.0,13821.0
2006-12-22,2341.34,186.91,241.18,6.87,3151.0,350.0,11131.0,24366.0
2006-12-23,4773.39,221.47,240.14,14.03,2669.0,425.0,14726.0,61784.0
2006-12-24,2550.01,149.9,241.69,7.64,1703.0,5082.0,6891.0,28865.0
2006-12-25,2743.12,240.28,243.4,7.95,6620.0,1962.0,5795.0,31377.0
2006-12-26,3934.11,165.1,241.63,11.35,1086.0,2533.0,14979.0,46999.0
2006-12-27,1528.76,178.9,243.77,4.52,0.0,314.0,6976.0,18245.0
2006-12-28,2072.64,208.88,243.27,6.09,2207.0,4419.0,9176.0,18779.0
2006-12-29,3174.39,196.39,240.87,9.27,1252.0,5162.0,11329.0,35196.0
2006-12-30,2796.11,312.14,240.54,8.3,3072.0,7893.0,12516.0,23170.0
2006-12-31,3494.2,150.85,239.9,10.2,0.0,347.0,6502.0,51445.0
2007-1-1,2749.0,148.17,240.13,7.92,0.0,352.0,5880.0,39564.0
2007-1-2,1269.24,190.34,241.94,3.71,0.0,348.0,6562.0,14207.0
2007-1-3,1014.05,196.73,243.56,3.01,0.0,344.0,4765.0,11762.0
2007-1-4,3259.41,202.3,239.75,9.48,1051.0,7597.0,10896.0,34810.0
2007-1-5,2713.36,173.15,240.5,7.89,1483.0,379.0,7602.0,35796.0
2007-1-6,1508.38,192.19,239.67,4.54,1336.0,402.0,5678.0,17724.0
2007-1-7,2447.62,246.07,240.9,7.28,1987.0,8177.0,12810.0,17818.0
2007-1-8,2241.36,207.57,239.58,6.55,0.0,467.0,17547.0,19370.0
2007-1-9,1869.05,207.25,240.49,5.52,1688.0,4267.0,9790.0,15479.0
2007-1-10,2154.8,228.45,241.03,6.36,771.0,4456.0,11012.0,19742.0
2007-1-11,2255.19,230.02,241.16,6.66,1378.0,2170.0,12415.0,21687.0
2007-1-12,1461.3,199.14,241.54,4.31,0.0,439.0,8276.0,15695.0
2007-1-13,3186.81,290.74,239.28,9.45,7806.0,2975.0,11341.0,31055.0
