DateTime,Active_power,Reactive_power,Voltage,Intensity,Sub_meter_1,Sub_meter_2,Sub_meter_3,Sub_meter_4
2006-12-16 18,217.93,4.8,234.58,15.6,0.0,403.0,1012.0,2221.0
2006-12-16 19,204.01,5.11,233.23,14.5,0.0,86.0,1001.0,2315.0
2006-12-16 20,196.11,4.51,234.07,13.92,0.0,0.0,1007.0,2261.0
2006-12-16 21,183.39,4.6,237.16,13.05,0.0,25.0,1033.0,1999.0
2006-12-16 22,132.01,3.37,238.76,9.52,0.0,8.0,266.0,1923.0
2006-12-16 23,123.7,4.29,240.62,8.9,0.0,5.0,0.0,2058.0
2006-12-17 00,112.95,6.15,240.96,8.13,0.0,28.0,0.0,1854.0
2006-12-17 01,200.96,8.22,240.45,14.25,0.0,1514.0,0.0,1834.0
2006-12-17 02,95.24,4.69,245.82,6.87,0.0,34.0,0.0,1555.0
2006-12-17 03,99.73,4.77,244.51,7.21,0.0,46.0,0.0,1617.0
2006-12-17 04,132.95,5.61,243.86,9.33,0.0,34.0,533.0,1648.0
2006-12-17 05,119.8,3.61,243.71,8.57,0.0,10.0,279.0,1713.0
2006-12-17 06,78.2,5.69,244.14,5.53,0.0,43.0,0.0,1261.0
2006-12-17 07,97.2,3.59,241.85,6.8,0.0,10.0,0.0,1611.0
2006-12-17 08,113.43,7.11,241.31,8.05,0.0,45.0,0.0,1845.0
2006-12-17 09,152.94,4.75,238.85,10.97,0.0,439.0,0.0,2109.0
2006-12-17 10,217.73,11.68,235.44,15.53,533.0,1341.0,969.0,786.0
2006-12-17 11,148.26,12.04,236.92,10.49,567.0,301.0,1031.0,576.0
2006-12-17 12,114.95,17.64,237.78,8.14,0.0,32.0,1039.0,852.0
2006-12-17 13,99.65,10.29,239.92,6.92,0.0,3.0,1057.0,596.0
2006-12-17 14,125.56,15.44,244.05,8.6,0.0,20.0,1094.0,977.0
2006-12-17 15,179.12,5.32,240.48,12.43,418.0,12.0,1062.0,1492.0
2006-12-17 16,199.56,5.59,236.78,14.01,515.0,4.0,1030.0,1778.0
2006-12-17 17,204.41,10.0,234.23,14.51,0.0,28.0,1009.0,2371.0
2006-12-17 18,221.83,8.1,234.37,15.75,0.0,0.0,1010.0,2685.0
2006-12-17 19,174.5,15.91,233.2,12.52,0.0,31.0,1001.0,1878.0
2006-12-17 20,201.69,16.29,236.43,14.28,0.0,67.0,1027.0,2267.0
2006-12-17 21,182.45,16.08,239.1,12.72,0.0,72.0,1050.0,1919.0
2006-12-17 22,91.08,14.12,242.19,6.38,0.0,25.0,150.0,1348.0
2006-12-17 23,26.26,13.31,245.73,2.0,0.0,48.0,0.0,389.0
2006-12-18 00,16.58,5.94,244.61,1.22,0.0,2.0,0.0,265.0
2006-12-18 01,18.8,9.11,243.52,1.42,0.0,35.0,0.0,279.0
2006-12-18 02,17.07,6.54,246.89,1.26,0.0,0.0,0.0,286.0
2006-12-18 03,18.6,8.87,245.73,1.4,0.0,34.0,0.0,266.0
2006-12-18 04,61.58,4.8,245.51,4.18,0.0,4.0,753.0,276.0
2006-12-18 05,17.61,7.32,245.25,1.29,0.0,28.0,0.0,267.0
2006-12-18 06,36.6,6.77,245.7,2.6,0.0,5.0,0.0,610.0
2006-12-18 07,147.03,9.18,240.96,10.22,5.0,27.0,678.0,1742.0
2006-12-18 08,124.93,4.42,237.88,8.73,748.0,2.0,1041.0,291.0
2006-12-18 09,97.76,5.11,237.4,6.82,310.0,29.0,1036.0,262.0
2006-12-18 10,78.58,3.17,239.08,5.43,0.0,0.0,1050.0,259.0
2006-12-18 11,93.72,7.64,239.77,6.47,0.0,31.0,1056.0,477.0
2006-12-18 12,105.36,5.24,242.58,7.25,0.0,0.0,1081.0,677.0
2006-12-18 13,100.92,7.59,241.95,6.94,0.0,32.0,1042.0,606.0
