DateTime,Active_power,Reactive_power,Voltage,Intensity,Sub_meter_1,Sub_meter_2,Sub_meter_3,Sub_meter_4
2007-1,69014.83,5922.63,240.91,6.55,56433.0,79275.0,329596.0,686077.0
2007-2,56493.76,4582.1,240.52,5.92,47586.0,64607.0,270310.0,560633.0
2007-3,58864.46,5122.35,240.51,5.57,60769.0,104762.0,290378.0,526690.0
2007-4,37780.07,5102.85,239.04,3.76,45622.0,39878.0,201183.0,344450.0
2007-5,44008.88,5148.89,235.18,4.3,75737.0,72132.0,229448.0,356971.0
2007-6,35763.26,6325.01,238.87,3.61,59810.0,70171.0,189533.0,277241.0
2007-7,29830.41,5699.07,237.68,2.95,43163.0,56035.0,155038.0,244133.0
2007-8,34100.78,5036.05,237.93,3.31,36251.0,49711.0,225442.0,258037.0
2007-9,41882.79,5444.1,239.42,4.18,52916.0,75277.0,226409.0,344398.0
2007-10,49278.43,4171.62,239.73,4.68,43218.0,87914.0,256080.0,434519.0
2007-11,55921.82,4171.14,240.87,5.45,50823.0,73667.0,299690.0,508416.0
2007-12,72604.78,4950.62,241.73,6.82,74090.0,82931.0,362423.0,691973.0
2008-1,65173.13,3908.31,240.65,6.18,61762.0,62911.0,312191.0,650474.0
2008-2,49335.55,3639.9,240.6,4.97,40192.0,56648.0,255971.0,471393.0
2008-3,55594.39,4531.56,241.33,5.24,63148.0,79277.0,279687.0,505780.0
2008-4,48210.01,5361.76,241.22,4.7,47080.0,70871.0,295678.0,390262.0
2008-5,45722.78,6896.92,240.37,4.38,53084.0,58908.0,290621.0,360290.0
2008-6,42945.31,6550.54,238.97,4.3,68728.0,63449.0,290121.0,294078.0
2008-7,35480.27,6551.91,239.77,3.46,47313.0,44416.0,227265.0,272781.0
2008-8,12342.32,5705.39,240.43,1.26,3873.0,22264.0,79667.0,97351.0
2008-9,42667.79,5399.15,240.12,4.21,52376.0,44590.0,284282.0,330748.0
2008-10,50754.52,4717.35,240.33,4.8,44093.0,63242.0,276666.0,462104.0
2008-11,59943.62,4377.99,240.58,5.87,58267.0,55889.0,280768.0,604574.0
2008-12,56937.37,4080.09,243.08,5.31,45107.0,39459.0,308597.0,557223.0
2009-1,62952.8,4396.7,243.79,5.87,74651.0,72953.0,329624.0,573608.0
2009-2,50382.13,3883.65,242.4,5.21,47819.0,50727.0,296890.0,445131.0
2009-3,54760.6,4657.53,242.3,5.15,64645.0,48427.0,328697.0,471916.0
2009-4,49279.62,5315.43,241.63,4.82,54515.0,52604.0,307877.0,406658.0
2009-5,45211.52,5338.36,240.12,4.3,43570.0,50100.0,311051.0,349318.0
2009-6,36049.53,5782.37,241.04,3.58,33380.0,30887.0,276251.0,260747.0
2009-7,27597.15,7488.87,242.02,2.71,18226.0,42528.0,187938.0,211352.0
2009-8,29485.07,8397.59,241.28,2.92,34023.0,38607.0,194896.0,224033.0
2009-9,42635.13,6648.41,241.15,4.21,51602.0,46144.0,296602.0,316369.0
2009-10,51090.17,5866.58,240.89,4.82,54728.0,53729.0,327523.0,416624.0
2009-11,55072.2,5473.93,241.95,5.33,60445.0,53510.0,335548.0,469327.0
2009-12,60907.98,5792.14,244.08,5.66,57803.0,53490.0,383946.0,520208.0
2010-1,63588.71,5638.38,243.58,5.92,57493.0,64008.0,421978.0,516440.0
2010-2,55475.66,4130.27,242.35,5.72,49268.0,53592.0,411750.0,410020.0
2010-3,50558.58,5582.8,241.95,4.74,35089.0,61613.0,345630.0,400705.0
2010-4,44378.64,5393.69,241.78,4.31,38196.0,36476.0,336092.0,329578.0
2010-5,48894.83,5454.23,240.37,4.63,48107.0,52376.0,364644.0,350693.0
2010-6,41887.2,6485.0,240.84,4.17,65747.0,47676.0,306953.0,278506.0
2010-7,32188.94,7386.95,240.55,3.13,17667.0,34359.0,192912.0,293051.0
2010-8,28227.99,5586.83,241.19,2.73,17199.0,30888.0,190186.0,234424.0
2010-9,41188.21,5426.39,241.12,4.05,43687.0,35166.0,292733.0,315221.0
2010-10,51934.84,6140.78,242.16,4.89,48201.0,60222.0,315688.0,441722.0
