DateTime,Active_power,Reactive_power,Voltage,Intensity,Sub_meter_1,Sub_meter_2,Sub_meter_3,Sub_meter_4
2007-Spring,140653.41,15374.09,238.24,4.54,182128.0,216772.0,721009.0,1228111.0
2007-Summer,99694.45,17060.13,238.16,3.29,139224.0,175917.0,570013.0,779411.0
2007-Fall,147083.04,13786.86,240.01,4.77,146957.0,236858.0,782179.0,1287333.0
2007-Winter,187113.46,12498.83,240.99,5.99,176044.0,202490.0,930585.0,1813840.0
2008-Spring,149527.18,16790.24,240.97,4.77,163312.0,209056.0,865986.0,1256332.0
2008-Summer,90767.9,18807.84,239.72,3.01,119914.0,130129.0,597053.0,664210.0
2008-Fall,153365.93,14494.49,240.34,4.96,154736.0,163721.0,841716.0,1397426.0
2008-Winter,170272.3,12360.44,243.09,5.46,167577.0,163139.0,935111.0,1575962.0
2009-Spring,149251.74,15311.32,241.35,4.76,162730.0,151131.0,947625.0,1227892.0
2009-Summer,93131.75,21668.83,241.45,3.07,85629.0,112022.0,659085.0,696132.0
2009-Fall,148797.5,17988.92,241.33,4.79,166775.0,153383.0,959673.0,1202320.0
2009-Winter,179972.35,15560.79,243.34,5.77,164564.0,171090.0,1217674.0,1446668.0
2010-Spring,143832.05,16430.72,241.37,4.56,121392.0,150465.0,1046366.0,1080976.0
2010-Summer,102304.13,19458.78,240.86,3.34,100613.0,112923.0,690051.0,805981.0
