DateTime,Active_power,Reactive_power,Voltage,Intensity,Sub_meter_1,Sub_meter_2,Sub_meter_3,Sub_meter_4
2006-12-17~2006-12-23 Week 51,18324.25,1252.55,241.14,7.68,11520.0,20525.0,83932.0,189494.0
2006-12-24~2006-12-30 Week 52,18799.14,1451.59,242.17,7.87,15940.0,27365.0,67662.0,202631.0
2006-12-31~2007-1-6 Week 1,16007.64,1253.73,240.78,6.68,3870.0,9769.0,47885.0,205308.0
2007-1-7~2007-1-13 Week 2,15616.13,1609.24,240.57,6.59,13630.0,22951.0,83191.0,140846.0
2007-1-14~2007-1-20 Week 3,16127.84,1374.44,240.42,6.79,14866.0,18723.0,82888.0,152653.0
2007-1-21~2007-1-27 Week 4,15611.62,1150.02,241.8,6.55,18355.0,16513.0,71616.0,154062.0
2007-1-28~2007-2-3 Week 5,16668.02,1221.67,240.38,6.98,11628.0,16981.0,92835.0,156544.0
2007-2-4~2007-2-10 Week 6,15093.66,1143.94,240.92,6.32,16068.0,17321.0,73156.0,145256.0
2007-2-11~2007-2-17 Week 7,15126.85,1234.82,240.28,6.36,10865.0,17233.0,72340.0,151834.0
2007-2-18~2007-2-24 Week 8,16641.93,1219.13,239.78,6.96,14737.0,23424.0,74110.0,165481.0
2007-2-25~2007-3-3 Week 9,3961.47,798.22,241.61,1.66,0.0,2317.0,16933.0,48022.0
2007-3-4~2007-3-10 Week 10,13702.19,1289.16,240.39,5.77,15682.0,36473.0,65912.0,110530.0
2007-3-11~2007-3-17 Week 11,14129.76,1008.64,240.04,5.91,14362.0,18826.0,64464.0,138118.0
2007-3-18~2007-3-24 Week 12,14484.31,1118.25,240.92,6.06,19009.0,24335.0,78777.0,119614.0
2007-3-25~2007-3-31 Week 13,14695.83,1356.67,240.46,6.17,11716.0,24125.0,72679.0,136577.0
2007-4-1~2007-4-7 Week 14,13440.56,1244.45,240.58,5.63,15661.0,20687.0,84147.0,103796.0
2007-4-8~2007-4-14 Week 15,5917.58,1092.44,240.5,2.51,2876.0,4530.0,22153.0,69925.0
2007-4-15~2007-4-21 Week 16,7425.43,1249.15,240.15,3.19,12440.0,5503.0,37554.0,68518.0
2007-4-22~2007-4-28 Week 17,9068.03,1192.11,236.05,3.94,11659.0,7742.0,49274.0,82558.0
2007-4-29~2007-5-5 Week 18,8247.24,1166.18,235.19,3.6,14076.0,8657.0,43484.0,71355.0
2007-5-6~2007-5-12 Week 19,10329.39,1225.93,234.93,4.49,15879.0,15626.0,57919.0,82889.0
2007-5-13~2007-5-19 Week 20,9992.64,1236.6,235.58,4.32,17968.0,17511.0,51695.0,79641.0
2007-5-20~2007-5-26 Week 21,9967.04,1084.0,235.06,4.28,18695.0,17415.0,48687.0,81478.0
2007-5-27~2007-6-2 Week 22,9931.49,1070.51,235.03,4.27,16076.0,16074.0,51015.0,82522.0
2007-6-3~2007-6-9 Week 23,10442.67,1527.47,235.74,4.51,19157.0,23185.0,53571.0,78232.0
2007-6-10~2007-6-16 Week 24,8247.94,1649.42,240.3,3.56,15921.0,14399.0,43134.0,64382.0
2007-6-17~2007-6-23 Week 25,6393.22,1460.11,240.45,2.8,7790.0,12827.0,32033.0,53968.0
2007-6-24~2007-6-30 Week 26,8148.98,1378.38,240.14,3.51,12971.0,18025.0,45498.0,59398.0
2007-7-1~2007-7-7 Week 27,7542.03,1463.15,240.36,3.27,11528.0,18829.0,36617.0,58985.0
2007-7-8~2007-7-14 Week 28,7052.04,1373.68,240.7,3.05,8634.0,11450.0,42028.0,55487.0
2007-7-15~2007-7-21 Week 29,6220.65,1470.95,235.28,2.77,7167.0,6627.0,33581.0,56672.0
2007-7-22~2007-7-28 Week 30,7415.42,997.43,235.35,3.25,12557.0,19129.0,35421.0,56868.0
